SSP;A1;A2;A3;C1;C2;C3;R1;R2;R3
SSP new1;1394423.865;2238092.552;490986.341;1468331.435;3696187.768;1340434.216;4875578.784;3408472.2;5108851.584
SSP new2;3109426.254;5715357.886;933802.921;5615560;9697523.836;4322944.56;14157176.54;9787749.125;13070005.36
SSP new3;3505201.718;4451142.863;887453.694;5784025.049;9473664.2;4170986.776;13719488.83;7365026.9;12249042.97
SSP new4;2812211.506;3985936.91;1123969.561;2701615.531;7338703.372;2431852.632;13125562.27;6559849.975;14148472.9
SSP new5;3185774.224;5727647.295;1083603.784;5177762.208;10154587.9;4001085.528;12220093.73;10051049.05;13985329.81
SSP new6;3138543.837;4973135.215;1105048.916;6210698.738;11349992.65;5032034.656;12482847.36;11468625;11616962.22
SSP new7;2507910.221;3701798.413;1130155.24;6357602.385;9515520.924;4376172.592;11707689.89;9989560.35;10737175.76
SSP new8;1888822.06;3366116.458;1256774.932;5837848.626;9350047.07;3294395.192;10323255.17;8856003.1;11122835.16
SSP new9;2360928.351;2923342.261;798199.325;4809059.185;7995416.884;2992345.752;9566653.824;8252609.75;9653876.352
SSP new10;1534462.82;2490357.097;726674.114;5280996.018;6486652.718;2596607.64;9183256.992;6167969.675;11573358.05
SSP new11;1233603.881;1858067.531;889292.503;2688182.786;6997576.768;2167899.096;6712418.592;4893099.4;10956385.14
SSP new12;969141.743;2601895.736;480868.656;3430015.772;7528453.296;3589780.04;4579437.888;2673543.95;3719812.6
SSP new13;1084043.214;3006925.279;524507.636;3837186.72;8936181.436;3466480.776;3594945.312;2475098.325;3556277.888
SSP new14;984535.525;2831229.288;548880.208;4999396.078;7631383.214;4390864.984;4682165.184;3831523.5;5844142.872
SSP new15;949690.837;2063924.371;437897.38;2455766.994;4894016.764;2564571.064;3580325.856;2540150.375;6129047.456
SSP new16;1709402.711;3900347.165;756594.718;4251870.694;7780941.714;3781838.896;9675786.24;6251662.55;11320030.52
SSP new17;2541454.648;5256974.754;1134630.508;4540868.918;8821995.364;3772805.872;13329229.54;8007315.75;10094060.86
