	SSP	A1	A2	A3	C1	C2	C3	R1	R2	R3	spot_num	spot_acc	spot_annot
3	SSP 0001	24.3548234498187	22.9072900350693	23.8506668574761	22.0628979476773	21.2950310429916	21.6892657957403	23.135831656852	22.3937746244904	21.8920275429938	3	-	-
2	SSP 0002	23.3499629178802	23.4302632588311	22.8410566839344	21.531148342335	11.1613856209191	20.9901038807492	22.1650268336755	21.0283768757533	20.7075838673955	2	-	-
1	SSP 0003	22.8410566839344	22.0286245713257	16.3482160478939	19.7220145406806	17.0803737747154	20.3318248246564	20.2715666332156	13.9600514518092	19.0752600953375	1	Prb1 [Oryza sativa Japonica Group]	AAQ19031.1 
14	SSP 0004	22.5565835236172	22.4343864994458	17.0803737747154	18.0165661812475	20.2312145723292	16.5934418790313	20.9300711221754	20.2715666332156	17.9071983079425	14	-	-
13	SSP 0005	21.0595726498002	21.2653409806094	22.7761904595367	15.7773688392371	18.4955773195627	19.3161461213678	20.5035674922033	20.9901038807492	22.4343864994458	13	-	-
12	SSP 0006	18.0165661812475	19.0752600953375	20.3964365235694	13.9600514518092	16.3482160478939	17.0803737747154	18.7220328663981	18.3660071925935	19.5763434296892	12	-	-
30	SSP 0301	21.0283768757533	20.3964365235694	18.3660071925935	17.4301027063194	17.6357306102015	19.8010245157255	19.7220145406806	19.0752600953375	18.9290654844917	30	Chitinase 2 [Oryza sativa Japonica Group]	XP_015615023.1  
31	SSP 0302	22.6876254220705	23.6619196303069	20.6365245542631	21.1217887868594	20.9300711221754	20.9300711221754	21.6892657957403	19.8010245157255	20.8801967612333	31	Glucan endo-1,3-beta-glucosidase 3 isoform X2 [Oryza sativa Japonica Group]	XP_015647554.1 
49	SSP 0502	21.4045042552582	20.3318248246564	20.8344132017289	19.5763434296892	19.5763434296892	20.1190224106085	20.7075838673955	20.3964365235694	20.0640788452215	49	-	-
50	SSP 0503	21.1886909373624	20.7075838673955	22.0969269682973	19.9299426014254	19.8010245157255	19.0752600953375	21.1886909373624	21.8000038296523	21.1217887868594	50	-	-
61	SSP 0701	20.9300711221754	22.1289201644365	22.1650268336755	20.0640788452215	19.6578921762106	19.7220145406806	20.8344132017289	21.6892657957403	19.6578921762106	61	-	-
89	SSP 0901	20.4381027387076	20.9901038807492	19.5763434296892	20.5035674922033	21.2653409806094	20.7732549329475	22.1289201644365	22.1650268336755	21.8490945027563	89	-	-
4	SSP 1001	23.6619196303069	23.8506668574761	24.3548234498187	22.7761904595367	23.6619196303069	23.2063311994369	24.3548234498187	23.5429718045588	23.6619196303069	4	-	-
5	SSP 1002	23.5429718045588	23.2063311994369	23.2063311994369	22.0969269682973	23.4302632588311	20.6365245542631	23.3499629178802	23.8506668574761	21.0283768757533	5	-	-
15	SSP 1003	20.5035674922033	20.8801967612333	17.9071983079425	17.9071983079425	16.5934418790313	13.9600514518092	20.3964365235694	19.7220145406806	18.7220328663981	15	-	-
32	SSP 1302	23.135831656852	22.991884835859	24.0622155548697	21.8000038296523	22.3348834094434	20.3964365235694	23.6619196303069	21.8490945027563	22.5565835236172	32	Glucan endo-1,3-beta-glucosidase 3 isoform X2 [Oryza sativa Japonica Group]	XP_015647554.1
62	SSP 1702	21.6221967240433	22.3348834094434	23.135831656852	19.3161461213678	19.9299426014254	20.0640788452215	20.2312145723292	23.4302632588311	23.3499629178802	62	-	-
6	SSP 2001	22.3937746244904	23.3499629178802	21.8920275429938	21.8920275429938	22.991884835859	21.735993016152	22.5565835236172	22.3348834094434	23.2063311994369	6	-	-
7	SSP 2002	21.5895174935602	21.6892657957403	20.1190224106085	19.6578921762106	21.6892657957403	18.4955773195627	21.4501795201192	21.5895174935602	24.0622155548697	7	-	-
16	SSP 2003	19.5470909276061	20.0640788452215	15.7773688392371	15.1742602603229	18.5961461250755	17.6357306102015	19.6578921762106	17.4301027063194	15.1742602603229	16	-	-
33	SSP 2302	21.4501795201192	21.4501795201192	23.5429718045588	20.1190224106085	22.4343864994458	22.1650268336755	21.2653409806094	23.6619196303069	22.3028456335414	33	Glucan endo-1,3-beta-glucosidase 3 isoform X2 [Oryza sativa Japonica Group]	XP_015647554.1 
36	SSP 2401	21.2653409806094	21.8490945027563	19.7220145406806	23.6619196303069	21.8000038296523	22.6876254220705	20.5839530041281	22.1289201644365	22.9072900350693	36	-	-
37	SSP 2501	22.6038243219473	20.5839530041281	18.9290654844917	23.4302632588311	21.9802341958946	21.4501795201192	22.6876254220705	22.0286245713257	23.5429718045588	37	Glucan endo-1,3-beta-glucosidase 7 [Oryza sativa Japonica Group]	XP_015649129.1 
90	SSP 2901	19.4582519342301	20.9300711221754	19.6578921762106	21.6892657957403	22.3937746244904	23.135831656852	21.3554813435236	19.4582519342301	21.1886909373624	90	Peroxidase 1-like [Oryza sativa Japonica Group]	XP_015645086.1
8	SSP 3001	20.2312145723292	21.0595726498002	21.6221967240433	16.3482160478939	17.7814382726764	15.7773688392371	19.4582519342301	20.1190224106085	21.6892657957403	8	"Acidic PR-1 type pathogenesis-related protein PR-1a [Oryza sativa Japonica Group]
"	AAG44566.1  
34	SSP 3401	22.4994412923589	20.1190224106085	22.6876254220705	22.2400200699747	22.1289201644365	20.8801967612333	21.8000038296523	23.3499629178802	20.2715666332156	34	-	-
38	SSP 3501	23.2063311994369	21.1886909373624	21.735993016152	23.8506668574761	23.5429718045588	22.991884835859	23.8506668574761	22.6876254220705	23.8506668574761	38	Cysteine-rich receptor-like protein kinase 6 [Oryza sativa Japonica Group]	XP_015635326.1 
39	SSP 3502	23.8506668574761	20.6365245542631	21.2950310429916	23.3499629178802	23.3499629178802	23.3499629178802	24.0622155548697	23.2063311994369	22.3348834094434	39	Cysteine-rich receptor-like protein kinase 6 [Oryza sativa Japonica Group]	XP_015635326.1  
54	SSP 3602	20.3964365235694	24.3548234498187	17.6357306102015	23.135831656852	24.3548234498187	21.1217887868594	21.8920275429938	24.0622155548697	21.4912665473094	54	-	-
81	SSP 3901	24.0622155548697	22.6876254220705	23.6619196303069	25.0365360640417	23.2063311994369	22.0628979476773	25.0365360640417	21.1217887868594	25.0365360640417	81	Peroxidase P7 [Oryza sativa Japonica Group]	XP_015643864.1
82	SSP 3902	25.0365360640417	25.5380758279657	25.5380758279657	24.0622155548697	25.0365360640417	25.5380758279657	25.5380758279657	25.5380758279657	25.5380758279657	82	-	-
83	SSP 3903	25.5380758279657	23.5429718045588	25.0365360640417	25.5380758279657	21.735993016152	23.6619196303069	21.9802341958946	25.0365360640417	24.3548234498187	83	-	-
