	SSP	A1	A2	A3	C1	C2	R1	R2	spot_num	spot_acc	spot_annot
3	SSP 1503	13.4330967973942	10.5992553919478	13.9622443243712	10.5992553919478	10.5992553919478	10.5992553919478	10.5992553919478	3	-	-
58	SSP 1701	20.0382645091058	20.3032819320165	17.5798786125235	13.4330967973942	13.4330967973942	16.2394346810287	13.4330967973942	58	-	-
2	SSP 2404	20.9217390954786	20.8479397304666	22.2771543505788	21.5561677715029	22.1793089218366	21.8036230276845	21.5132728071258	2	-	-
1	SSP 2405	18.0644478505545	18.1481751305245	20.220148835773	19.5498639372186	20.4531996984783	18.0644478505545	20.3832981459701	1	-	-
20	SSP 2503	18.4287662101371	19.0142374656242	19.0142374656242	15.9569975728321	18.8105810370282	20.1520872171632	19.4636887051149	20	-	-
17	SSP 2504	18.7466131969654	19.7918042918948	18.7466131969654	18.4287662101371	18.7466131969654	20.9832940309046	19.8818027993828	17	-	-
19	SSP 2505	20.5953053795549	19.679277325995	19.9358635453528	20.4531996984783	19.0142374656242	19.0142374656242	20.0382645091058	19	-	-
16	SSP 2506	18.1481751305245	17.3786334754537	18.0644478505545	18.7466131969654	18.8585607633799	19.6386672007022	19.3542580632328	16	2-Cys peroxiredoxin BAS1, chloroplastic [Oryza sativa Japonica Group]	XP_015627405.1
21	SSP 2507	15.3549626823598	15.9569975728321	16.7853548186603	15.3549626823598	17.9488087664632	15.3549626823598	14.840444546124	21	-	-
4	SSP 2508	16.2394346810287	13.9622443243712	15.3549626823598	17.9488087664632	17.5798786125235	13.9622443243712	15.9569975728321	4	Ribulose bisphosphate carboxylase small chain A, chloroplastic [Oryza sativa Japonica Group]	XP_015619408 
72	SSP 2805	20.2603474794323	21.8997751629432	20.6876812285382	16.7853548186603	17.2630823294971	21.8997751629432	20.8479397304666	72	Stromal 70 kDa heat shock-related protein, chloroplastic [Oryza sativa Japonica Group]	 XP_015639965.1 
70	SSP 2806	19.2530181443947	20.1520872171632	19.5498639372186	13.9622443243712	15.9569975728321	18.9119076393161	18.1481751305245	70	-	-
22	SSP 3607	17.3786334754537	17.7127773022889	18.4287662101371	19.2530181443947	20.3032819320165	19.1119215790018	16.7853548186603	22	-	-
23	SSP 3608	18.3151315954296	18.8585607633799	20.5331127673143	18.8105810370282	20.1520872171632	20.3832981459701	21.8997751629432	23	20 kDa chaperonin, chloroplastic isoform X1 [Oryza sativa Japonica Group]	XP_015643023.1
24	SSP 3609	20.9832940309046	20.5953053795549	21.1183854314823	21.3933176606163	20.2603474794323	22.1793089218366	22.6385308555618	24	Oxygen-evolving enhancer protein 2, chloroplastic [Oryza sativa Japonica Group]	XP_015646728.1   
28	SSP 3612	19.7918042918948	18.6533349312394	18.8585607633799	19.679277325995	19.5498639372186	18.8585607633799	18.7466131969654	28	Oxygen-evolving complex protein 1 [Oryza sativa]	2002393A
29	SSP 3613	19.679277325995	19.2530181443947	20.3832981459701	19.4636887051149	19.6386672007022	22.8124672351596	23.334345863696	29	Oxygen-evolving complex protein 1 [Oryza sativa]	2002393A
30	SSP 3614	18.4833934911933	19.9358635453528	19.8818027993828	19.1119215790018	17.8117501840766	22.0807608787095	22.0807608787095	30	Oxygen-evolving complex protein 1 [Oryza sativa]	2002393A
31	SSP 3615	16.6210663376949	18.0644478505545	17.3786334754537	14.840444546124	13.9622443243712	21.3933176606163	20.4531996984783	31	"Oxygen-evolving complex protein 1 [Oryza sativa]
"	2002393A
36	SSP 3709	21.1846782192261	22.6385308555618	21.5561677715029	22.8124672351596	22.2771543505788	23.1222983325014	24.2536180716596	36	Fructose-bisphosphate aldolase, chloroplastic [Oryza sativa Japonica Group]	XP_015616895.1
37	SSP 3710	21.3933176606163	23.334345863696	22.4991118694038	23.334345863696	23.1222983325014	24.2536180716596	22.1793089218366	37	Fructose-bisphosphate aldolase, chloroplastic [Oryza sativa Japonica Group]	XP_015616895.1
38	SSP 3711	21.5561677715029	22.8124672351596	23.1222983325014	23.1222983325014	24.2536180716596	23.8403170978344	23.8403170978344	38	Fructose-bisphosphate aldolase, chloroplastic [Oryza sativa Japonica Group]	XP_015616895.1
73	SSP 3803	20.220148835773	21.3933176606163	19.1119215790018	18.1481751305245	17.3786334754537	18.4833934911933	18.3151315954296	73	Heat shock cognate 70 kDa protein 2 [Oryza sativa Japonica Group] 	XP_015616495.1 
71	SSP 3804	20.6876812285382	19.8818027993828	19.4636887051149	16.6210663376949	18.0644478505545	16.3644287737035	18.0644478505545	71	-	-
74	SSP 3805	21.3231005708319	23.1222983325014	20.9217390954786	19.3542580632328	19.4636887051149	23.334345863696	23.1222983325014	74	Transketolase, chloroplastic [Oryza sativa Japonica Group]	XP_015643207.1
5	SSP 4501	21.6968877929202	22.0807608787095	20.1520872171632	19.6386672007022	19.2530181443947	17.9488087664632	16.3644287737035	5	Ribulose bisphosphate carboxylase small chain A, chloroplastic [Oryza sativa Japonica Group]	XP_015619408 
18	SSP 4502	19.5498639372186	18.4287662101371	16.2394346810287	17.5798786125235	16.3644287737035	18.8105810370282	19.0142374656242	18	-	-
15	SSP 4503	18.9119076393161	18.4833934911933	18.3151315954296	18.0644478505545	18.1481751305245	17.9948027020822	18.4833934911933	15	-	-
9	SSP 4505	18.8105810370282	17.9948027020822	17.9948027020822	18.3151315954296	17.9948027020822	18.4287662101371	19.1119215790018	9	-	-
8	SSP 4506	17.7127773022889	16.7853548186603	18.4833934911933	17.4731966549658	17.7127773022889	18.3151315954296	18.8105810370282	8	-	-
10	SSP 4507	19.3542580632328	17.5798786125235	17.8117501840766	18.6533349312394	18.6533349312394	21.1183854314823	20.5953053795549	10	-	-
25	SSP 4508	17.9948027020822	18.7466131969654	20.9832940309046	21.8036230276845	21.9524226758489	19.7918042918948	18.6533349312394	25	-	-
48	SSP 4703	20.4531996984783	22.4991118694038	20.3032819320165	20.9832940309046	21.6267663675391	21.9524226758489	22.2771543505788	48	-	-
44	SSP 4704	19.9358635453528	22.1793089218366	20.0382645091058	22.0807608787095	20.5953053795549	22.2771543505788	22.4991118694038	44	Malate dehydrogenase, mitochondrial [Oryza sativa Japonica Group]	XP_015639465.1 
39	SSP 4705	21.1183854314823	22.2771543505788	23.334345863696	23.8403170978344	23.334345863696	22.6385308555618	22.8124672351596	39	Fructose-bisphosphate aldolase, chloroplastic [Oryza sativa Japonica Group]	XP_015616895.1
40	SSP 4706	20.5331127673143	21.5132728071258	22.8124672351596	22.6385308555618	21.1183854314823	22.4991118694038	21.9524226758489	40	Fructose-bisphosphate aldolase, chloroplastic [Oryza sativa Japonica Group]	XP_015616895.1
65	SSP 4802	24.2536180716596	24.2536180716596	24.2536180716596	19.7918042918948	19.1119215790018	19.8818027993828	19.2530181443947	65	"Ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Oryza sativa]
"	QFR04205.1 
6	SSP 5503	10.5992553919478	23.8403170978344	23.8403170978344	24.2536180716596	23.8403170978344	20.4531996984783	20.6876812285382	6	Ribulose bisphosphate carboxylase small chain A, chloroplastic [Oryza sativa Japonica Group]	XP_015619408 
27	SSP 5603	17.5798786125235	19.5498639372186	18.6533349312394	18.8585607633799	18.4287662101371	18.6533349312394	17.5798786125235	27	-	-
26	SSP 5604	14.840444546124	16.3644287737035	15.9569975728321	20.9217390954786	20.9832940309046	13.4330967973942	13.9622443243712	26	-	-
49	SSP 5705	20.3832981459701	21.1183854314823	19.2530181443947	22.2771543505788	20.3832981459701	20.6876812285382	20.220148835773	49	Glyceraldehyde-3-phosphate dehydrogenase 2, cytosolic [Oryza sativa Japonica Group]	XP_015635626.1
55	SSP 5706	19.4636887051149	21.9524226758489	18.9119076393161	20.6876812285382	21.5132728071258	19.5498639372186	18.8585607633799	55	"Ribulose-1,5-bisphosphate carboxylase/oxygenase large subunit [Oryza sativa]
"	QFR04205.1
46	SSP 5707	16.7853548186603	19.3542580632328	20.5953053795549	20.3032819320165	21.3231005708319	19.679277325995	19.9358635453528	46	-	-
50	SSP 5708	18.6533349312394	17.4731966549658	19.6386672007022	20.3832981459701	21.1846782192261	16.6210663376949	19.7918042918948	50	-	-
45	SSP 5709	16.3644287737035	15.3549626823598	18.8105810370282	19.8818027993828	20.0382645091058	19.4636887051149	19.679277325995	45	-	-
11	SSP 6504	17.1176274970442	18.3151315954296	17.2630823294971	17.1176274970442	16.6210663376949	17.4731966549658	17.9948027020822	11	-	-
