       m/z	       S/N	Quality Fac.	      Res.	   Intens.	      Area
628.10	9.7	254	9622	1536.1	153
642.67	15.3	473	10940	2415.23	224
644.07	41	6083	9482	6391.71	683
650.08	19.9	1218	11198	3136.25	284
659.42	33.9	7381	10024	5319.25	555
666.05	23.2	1591	10503	3677.72	369
682.03	8.6	618	9536	1389.68	154
730.36	15.7	2693	11194	2499.18	267
740.45	130.2	11017	9925	20358.31	2560
778.40	7.5	243	10718	1231.59	144
805.46	20.7	2681	13092	3307.9	347
855.10	22.7	4260	11941	3611.98	456
871.07	9.3	1066	11856	1537.54	196
877.09	6.9	394	10495	1147.96	158
906.55	6.8	336	15918	1144.57	112
914.45	156.9	8755	9409	24329.43	4328
917.56	23.3	947	9986	3703.05	601
930.46	27.9	1058	10873	4426.46	684
933.57	139.7	4478	11171	21688.36	3394
934.59	60.5	1917	8167	9414.17	1971
935.58	34.5	205	21694	5523.56	441
936.44	23.8	316	15312	3754.14	438
938.53	106.1	9720	11837	16438.77	2443
952.41	27.6	7989	11350	4351.54	675
955.55	10.6	458	12915	1750.23	234
962.46	10.8	540	9038	1745.35	333
971.52	12.5	316	9346	1989.86	373
976.44	6.4	197	4420	1064.56	406
1,060.11	8.6	751	16572	1382.75	168
1,066.62	89.6	16740	14905	13606.56	1982
1,165.62	38.3	11558	15478	5695.49	907
1,187.61	11.5	1797	12670	1757.58	342
1,203.58	14.3	2798	13619	2152.8	399
1,214.72	33.2	10249	15215	4902.02	851
1,230.71	13.7	1882	14924	2031.95	357
1,236.70	7.1	507	12156	1092.29	230
1,252.68	13.8	1869	13731	2026.33	396
1,262.69	8.3	906	13170	1262.93	264
1,276.72	15.1	3958	14400	2203.78	438
1,280.68	15.1	3676	14476	2188.78	427
1,380.76	6.2	504	12212	894.34	225
1,580.85	17.8	6365	13950	2273.46	682
1,596.84	8.6	581	13605	1135.45	344
1,602.83	6.3	651	15170	847.25	229
1,618.81	6.5	627	13207	859.01	270
2,163.13	12.9	1596	19494	1197.98	431
2,273.22	10.7	879	13091	942.79	508
2,289.24	6	173	21340	552.61	172
2,294.20	30.3	6589	17849	2492.49	1054
2,316.17	14.7	1834	11995	1223.13	752
2,332.16	18.7	2037	16107	1525.62	711
3,153.55	7	645	13113	310.61	273
